Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Parking,id,Provincia,Región,rango_baths,rango_dormitorios,rango_parqueos
509695,quintanormal,Hoevel4548y4558,7,4,384.0,3,11700213,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
130760,pedroaguirrecerda,Rucalhue,2,1,112.0,1,10894299,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
159557,estacioncentral,AvenidaLasParcelas,3,1,59.0,2,10257635,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
93400,colina,PasajeGonzaloRojas,3,1,103.0,1,9232092,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
66002,colina,HernánDíazArrieta2820,2,1,57.0,1,7085397,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
117061,estacioncentral,Avenida5deAbril,2,1,72.0,0,7586371,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
93400,colina,GabrielaMistral/PabloNeruda,3,1,70.0,2,11688480,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
130760,laflorida,SanCristóbalTres,2,1,50.0,1,12229303,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
94645,maipu,PasajeJosédeMoraleda,3,1,72.0,1,12223374,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
94645,maipu,Matías,3,1,46.0,1,12221068,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
112080,maipu,LasTinajas&QuintaVergara,3,1,100.0,3,12188657,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
93400,sanbernardo,ValledelAconcagua,3,2,50.0,1,12187463,Maipo,Metropolitana de Santiago,1-5,1-5,1-5
190582,maipu,Merlin,3,2,98.0,2,12187364,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
164384,quintanormal,SalvadorGutiérrez&Jujuy,4,1,69.0,2,8493024,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
247821,santiago,Cuevas,7,3,162.0,0,12155606,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
98381,puentealto,PasajeLagoBertrand,2,1,,2,12149041,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
465374,laflorida,JoséMiguelCarrera,7,3,173.0,3,7850911,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
597758,laflorida,Altomacul,5,6,240.0,2,6474890,Santiago,Metropolitana de Santiago,6-10,1-5,1-5
176837,santiago,Sandaniel,3,2,100.0,2,12065162,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
367867,laflorida,CaminodelaNaturaleza,3,3,105.0,2,10765504,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
487534,laflorida,Cam.LasCumbres6790,5,3,150.0,2,10105612,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
1506924,lascondes,Laforesta,5,5,360.0,4,10080545,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
199446,lampa,AvenidaLaMontañaSur4149,3,3,80.0,2,8677005,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
161773,lampa,AvenidaLaHacienda,3,2,68.0,1,7850612,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
93400,quilicura,Riocachapoal,2,2,70.0,0,11426067,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
